4.5294024548 3.7635500893   10.9236461114 10.6149645423   1.0827617517 -0.7827678468   16.8549104541 15.5037337671   10.2400509720 9.9637101901   -0.1890149528 0.1540814801   9.8999730727 10.7270919501   3.5874933201 5.2250399088   11.6144572904 8.9977449562   3.9082420183 2.4638716488   13.5845150188 16.1348963719   12.4957548592 11.7884956833   3.6688507658 2.6799320549   3.1223196118 2.9442070818   12.9784336253 12.9809032841   6.9260421892 5.8074164372   3.6013348060 2.6347783260   12.3113475819 13.3686740506   0.9652447651 0.7668794850   10.1977672519 9.2179949794   10.5069113869 10.6288301136   2.4539613277 4.2214226407   5.9939032376 6.7951588539   6.5247313060 6.2664533886   10.5041822343 9.7352147049   2.1854229051 3.5530049266   13.9649740924 13.4348979666   -0.3874910612 -0.1995496967   5.2540189878 5.1211785673   12.1025344443 13.7028364165   15.6544203887 16.2785227487   2.5640157922 2.0402739307   15.6366014340 14.9403939307   6.3638218745 5.5550349800   14.1696670949 12.4621332929   8.3237915442 9.0991044550   1.2621341088 4.3597813848   9.5441825771 9.7029274731   9.9094484888 9.2819171809   16.1679726472 14.2329464027   3.1127234597 2.4216834050   3.7414193678 3.8442931632   10.1970389106 9.7277960811   0.4163960382 1.7843557590   14.7258445943 16.5583558490   0.6660856955 1.0819535549   3.7101416228 3.6537573614   16.2251506704 15.2566106058   12.6376714528 12.6339832262   10.1534353316 11.5972275538   0.9460847869 -0.9473010448   3.5282772064 1.8814787629   15.2481441350 14.7776727144   16.1508764220 16.7011809027   4.3717794417 2.2380022952   9.3801844792 10.3287592542   14.0443708326 12.9273566263   2.2127861574 2.6777770441   8.7961468076 10.2618877671   2.4632615919 2.4426606975   11.3039296661 13.7206075870   2.8140553510 1.9014789505   8.8363601951 9.6022368258   -0.2111865371 0.4709874110   15.6025475577 16.2879159220   16.9538615981 16.1373554307   13.0436646286 13.7218360569   2.7817034878 2.6228717173   2.1970798881 1.7813906780   16.5601234425 15.6047243421   3.4939857412 2.0820395300   12.5550495644 12.9766064678   3.0813729026 2.9069821221   15.5715714895 18.3811808901   9.8736005545 9.4681576363   2.7698068075 2.1136153418   3.3190931987 0.7505703935   13.3302291599 13.4975292507   10.3384840328 9.8525582711   13.1205408493 11.2412968081   1.8681035245 2.5784912977   11.1921818567 9.9742592369   10.3686304636 11.3661026442   12.6025513531 12.8449475070   11.6312391010 14.2607566499   3.9607299117 1.4009431886   10.4563672998 9.3857350091   -0.3715597510 -1.0068600797   15.9053109082 16.5649706880   14.0465526073 12.2894391385   7.3238389729 5.5192701894   1.6310614434 -0.2503232867   10.8564798718 14.1522087011   12.8595053171 12.6294588424   11.8660620899 13.7126091541   -0.5047152271 0.5026193321   12.1090952160 12.5993843891   3.6220780913 3.5912896399   4.7769997050 7.0380994049   12.4523233035 13.2972904825   
-0.6706904479 -0.5906389351   1.1655446402 -0.4842851467   10.7758772035 13.0460186618   9.9908373416 10.0995689310   0.3330046474 -0.8393075288   16.1520561405 17.1901740118   2.2504265753 2.3948233729   3.5218427280 2.5820567395   10.5630625785 9.7725984946   5.7578697556 5.6602951962   18.0730644991 17.1580874241   4.9984840166 6.3674296541   9.7620980211 9.7979701995   1.6805251236 4.2191004081   0.9797091372 -0.6186433556   12.2116323201 15.1763240394   4.3078583356 4.3317264763   6.0470822535 7.1819159657   5.1362921626 6.4922407638   12.7457806631 12.3392616922   0.7068234640 -0.6872796478   9.5512492486 9.4060710007   12.1125605999 13.9676018934   3.7668761350 3.7515452604   11.2401960131 12.9483461893   2.9994848638 2.9535657605   3.6796853936 3.0381028293   3.1189201529 3.8885975878   3.4948499773 2.9915670541   -0.6377764632 0.1948135698   10.3954431066 9.9699660921   15.4021536292 15.8208984117   -0.0178035306 -0.6187306490   12.3075338006 12.9281405584   2.7886343824 2.8255679071   13.2539021111 12.7069875442   0.5768225677 1.3964943400   4.0806162300 2.7710341307   10.6465538844 11.1290290749   7.0004274122 7.8546992397   12.2156983828 14.1883744249   9.5976833437 9.0149641305   2.1633406293 3.7488411433   3.5682333107 4.1215293420   18.4014074602 16.6918499943   0.2341269029 -0.8556800377   16.1990327312 17.2033803195   13.5522856387 13.4476410958   10.3132932107 9.3463219349   6.2678457107 6.2459203524   10.1147947474 10.0135595738   3.4765619788 3.6880458653   14.9052074610 13.0676979957   8.6456889271 10.0302501300   4.3237678123 5.3065827630   14.5143721147 12.0083483153   -0.0742698386 0.6395066187   11.2567587182 9.8339415501   -0.2387212750 0.6401753770   9.8689849042 11.4492011461   0.9709120078 -0.0893158484   12.6605093165 14.4633649872   3.2934122263 2.4700230046   13.3196159440 12.5454095229   15.5393274810 16.1811098311   9.7594744390 10.5526242086   11.7939412764 12.4400930271   2.5080468496 1.2460911699   -0.6408615571 -0.1418404513   2.0930696688 2.6146286887   13.3200409728 12.4625474655   4.3122530128 3.5453891457   12.0214192949 13.2421038596   5.4270665607 4.0843613071   10.6439606051 9.7963434651   0.6572865566 0.2154375761   2.3341137695 3.0494439517   6.7768074236 5.8237803228   11.9289223696 12.7395341892   1.1325134877 -0.5807384177   2.1597381001 4.1832865525   -0.2590686278 -0.8731108463   -0.1837184997 1.1432121299   12.7138860751 12.6175566402   6.3601324898 5.0001614470   9.0664643797 8.9443998990   2.0663891177 1.9678724239   13.2781279846 12.9896856648   0.3662525898 0.5459817118   15.7770779393 15.2252617789   13.5695387682 13.7286546031   3.4114537760 3.1485421224   9.7336372657 9.1830095585   0.3392316967 -0.9251328168   13.1679432217 10.8256708226   0.2468952906 -0.0820450967   11.5223667676 13.5999595408   13.2399554254 13.7695274593   12.0709189490 11.5040348309   3.2363298204 2.0962732138   

4.8265489048 6.0317118669   9.5606373880 10.2717054683   2.1983482715 3.5964386153   11.5149806446 12.6110176615   11.9275964621 11.0525535039   13.2758398287 13.3036458512   10.4030963161 8.6518496347   0.0033452038 0.9673342050   12.6706261990 13.4181936833   1.3627254346 2.5177926238   15.3283284846 15.4456790495   0.1355600802 0.8578595442   12.7724997602 13.3298410449   2.7253423171 1.3015263990   9.8429517513 11.3462086855   3.3702259355 2.9000505537   3.1651440323 2.0265483646   13.2921978711 13.3361173407   16.0880143411 15.3779777210   2.6867150683 3.0494003103   16.4863045431 15.3968528684   3.7187785103 3.0169975898   7.1830007987 5.2029258470   19.6215899939 14.9994405708   2.2691173406 3.1752145315   12.8766129624 12.4392625345   2.9020089190 2.6775361042   10.7991170204 9.6467568736   -0.7719712742 0.0603502531   12.5087088909 11.3705059512   3.6470874096 3.1787559419   -0.5632727305 0.1079340024   9.5467681649 9.9586610899   11.5647396285 12.1666874198   10.4068901973 10.5534292732   13.2209264796 10.5737380968   3.4536182995 1.5285761430   12.5035476488 10.9960468300   2.2328106943 2.7873033403   13.8479046101 12.4159252040   3.6083493436 3.2288495599   12.6712964639 12.2309134716   2.8558834050 3.2349792381   12.9531644352 13.2059810364   12.7533098206 12.4215976343   12.3636963799 14.8464226564   2.7197621095 3.4341139172   13.4608109329 12.9599956582   3.3873213660 3.6824667567   11.2375935851 12.0956182274   0.3184492063 1.1868985101   16.0112365715 15.9490577918   2.6670488126 2.7348326216   12.9514226047 12.7830407069   0.2931287798 0.1026165694   0.2904415636 -0.6730634018   10.7552727421 9.5041098500   13.6927664110 13.4877727949   10.0533581335 9.5777477430   0.3856050107 0.5690256004   0.1486290323 0.4895148625   4.9685497989 6.4105890411   10.1831462744 10.9607730257   0.0194417568 -1.2386766296   2.4498867593 2.1028597277   12.8200098490 14.7899977468   4.2324626214 3.8061836377   14.7698229399 13.2800787119   0.0587060100 0.6951745494   14.1079493590 12.7580540754   13.4143720466 13.9914978940   16.2279692427 15.7875193822   2.5796698330 3.9424694383   10.5954095442 10.4438826139   3.7730723240 2.0668778890   9.8247367506 10.5805810669   3.2090761719 1.8387215924   5.5362781402 6.0004889069   0.3080752238 -0.9886195504   7.7457272003 9.6334916967   8.6446204219 10.8661457030   0.1461444743 0.7352849636   14.2433001281 13.0855038102   13.3692274426 11.9189955045   6.3013830759 6.8609117006   13.0360154503 12.6449463930   3.1850628604 3.8679116172   6.1573332684 7.6502050332   12.3913396492 13.6912237209   13.6530686970 12.6978191582   3.2662452563 3.8205766699   15.0006247301 15.5402200007   0.7224108186 -0.1105986664   2.3700718446 2.6702532810   14.2058178262 14.4082947579   1.8189368149 3.1653309487   16.9688742807 15.8377099202   15.9313557932 15.1013002892   12.1715991227 13.4647445437   6.3847232720 6.9114434467   

-0.3506886456 0.3818680196   14.5273662970 13.4485080200   7.6307124904 5.8406747114   13.2330671340 12.2455520614   3.8990855982 1.3970789572   13.5766411172 13.8634546969   0.7617081018 -0.5613035230   7.4587866359 6.0113390389   13.3671876584 12.0382112741   17.9714091988 17.0820850590   2.8635632790 2.8220415640   12.6761510221 12.8982767430   3.3745608493 1.9816557451   13.1064380758 11.0645038167   0.2939745462 -0.2914477980   15.1771253510 13.4786620069   -0.6994058182 0.3764288286   12.5988160497 13.7995574623   14.8160083950 14.4860175670   1.0255612269 0.1044057692   14.7806775033 16.5524312332   11.9738320190 14.2218925341   3.8978148522 3.1399365925   10.8694376946 10.5031224538   -1.1393973333 0.1382259591   2.9724948759 1.8548029715   0.9622084674 2.9008471508   15.9614169120 17.0432284880   -0.2472311743 -0.3634906346   9.8440210126 9.6788181212   3.5025261146 2.6678645005   10.6744159060 9.0057699640   9.6335161765 9.7743396872   0.6922500655 0.6091666708   15.7425033317 16.7089190835   2.7784670391 2.7821709266   2.4423309159 2.6420858010   12.8942504602 14.2734204732   -0.2241779486 0.0432100219   1.2202028547 1.8589353023   -0.6636841425 0.0150815758   13.0604524063 12.3207108442   16.3038872628 16.0936311745   2.5278981603 2.8012615011   10.1029588006 9.2617283425   2.8083671506 4.1477164319   12.9662676964 14.2017291916   13.1553608739 15.3284131653   9.6212244450 10.3185826688   10.8273001828 9.1769133354   3.6591801761 2.8350876395   10.7135643606 10.4244283459   4.1834145838 4.3759450269   9.5725608521 11.1664345969   3.2213682899 3.0405223461   8.7908083114 10.2302196519   9.2984125895 10.0024748666   12.7836751011 12.9943314070   13.3273850575 15.3559546458   6.1609106769 5.6339967180   17.2542345590 15.3430907202   13.1845034611 13.0096723430   17.2292704772 16.0508360821   12.2303217607 12.8474572498   -0.2290354803 0.8819097583   15.5160070717 15.7431140606   6.9656534713 7.5307619737   14.8819231419 14.5888090177   4.7531205642 6.9086114839   9.7043659962 10.0407904831   0.0470794875 0.7428948247   15.2752263800 12.3814315832   12.7030637501 12.8330069733   2.8025158005 3.0431623315   13.7039887874 11.1272009946   2.7500574837 2.6495346700   13.2839922769 12.3410578159   5.5125226810 5.0590265625   -0.8322152946 1.1293641869   2.5450392147 3.2208109892   3.5667352882 2.7168328482   -0.5900729286 -0.7753334563   2.0373904056 3.6544727065   9.2174633120 9.6035653547   2.7671069289 4.0036553073   7.1552287521 5.7738228413   9.7900673180 9.6385332201   3.1323512830 3.1832320396   9.3956683033 8.9716284674   -0.5586549864 -0.3887555659   12.9471345531 12.5140257247   2.1077098774 4.0773259431   15.3965730893 13.9561650245   13.1125173287 13.0702429307   3.9479535392 2.0845752097   9.8146883409 9.6795067284   4.6670897558 2.6678787079   15.5068267310 16.1569008648   2.6932303114 2.6594406055   10.2877388471 9.1363214592   

3.5676657424 4.4736230784   12.5797319692 12.2180146237   13.5025541350 12.7446282966   13.9648192377 13.5614439352   15.1858180563 17.5791448890   2.2114916942 3.1213995178   13.1278615870 12.7606371969   6.6986591828 7.1401753025   9.1879404309 10.4582719793   -0.0635387214 -0.5934241556   2.6604564351 3.8195513907   15.6499633101 15.3352493732   2.5207813906 2.6017645866   12.7563229505 12.1226941553   3.3790867308 4.4529667702   13.3806054043 14.0057975801   12.7762186827 13.0859905838   0.4368761161 -1.0105188004   6.2123433708 5.3207745291   11.0183150002 9.3893108543   14.9051685827 14.7413629457   -0.5069338918 -0.2663992312   16.2901171589 15.5871578442   2.7828198534 2.7094686856   12.2117096986 13.9380619371   0.5703363732 0.7004411993   12.4151939454 13.0280573305   5.4380999436 5.9170895924   10.1974632409 11.5063239432   7.3659079489 6.5620268172   14.2526007251 13.8381450337   13.6607679535 13.2952402390   3.2571094858 2.9817302393   11.0835569160 10.7865183022   5.1422635314 6.1146820724   3.7548305425 2.6400740093   12.4503327695 14.0138836231   -0.3961443525 0.3463105641   16.4290145896 15.7654371531   10.0348785234 10.1206437991   0.7290368894 0.0727693627   -0.4154143555 -1.0029744295   13.2345670883 14.1861042505   14.7779682508 17.5923215978   4.2337065786 3.4694523042   9.6690051845 9.8839608908   13.2709003462 13.3662636693   1.5825207382 3.2221728071   12.6959231754 13.2072635696   0.1016989624 -0.3520836256   9.8256213969 9.5391510653   4.2485578042 3.1466274387   16.5882166613 16.5697183240   9.5110057667 8.5338341870   6.0129086810 5.4088424375   13.3398123795 13.0083857695   4.4243388486 4.0695827469   11.7083694478 13.9352476007   3.3856832071 1.8735231994   11.3375409196 9.4690265137   3.0508136921 1.6178779138   13.9607631678 13.1495236423   4.0614821461 3.0136826487   12.4926799169 14.0353228821   6.4971746649 5.9107083725   9.7852414491 10.0980864656   7.5551396675 4.8695227700   12.5494657731 11.8974172947   13.3652489673 14.1314319294   4.8726127198 6.5795762824   10.0417869807 9.7005122845   5.4667534314 6.3030346818   12.9787237310 14.2124963802   9.0251305785 11.5709527881   12.7992124991 13.1374362490   10.2743683556 9.3719011218   2.8185791234 3.4789520229   12.1544262023 13.9750866758   1.7689072493 3.4521521948   14.3030848221 12.3001887357   11.5339264388 12.0946670423   4.0537107102 3.0179863534   3.0304937778 3.5008744127   3.0653680275 2.9215043280   6.1158436479 7.4550038448   12.9941842852 11.9632911752   3.8560748901 4.5188083032   2.8172902724 2.8005273406   2.1868033633 3.1733769544   2.8705945178 3.0190646003   13.6123333631 12.7949341468   6.9951050838 5.7025999518   2.1878571301 3.5399407635   9.7539174882 11.4787175690   3.1197041769 3.5156451869   13.1029192097 13.0700541662   -0.9711143620 0.6668637841   14.1048522528 12.9377001663   -0.2611567887 -1.8374533393   12.3511870842 11.6640448137   

4.0755365937 2.2785366573   10.7246929835 9.9271932926   -0.4542688359 1.3250659238   12.6320719087 13.2078447851   2.0016125677 2.2650398902   14.4677034920 15.2700384517   14.0124863365 13.3333834636   2.0792878121 2.9007251216   13.9450385794 12.3779978943   0.3769930867 0.3589560966   14.2836194986 12.8674264268   4.0705540661 2.7194416613   11.1325057031 13.0900639137   16.6641505397 15.7020799359   3.8776665303 4.0135375029   8.5034183453 10.2851030779   16.7466922885 18.0255288712   3.0098811831 4.1023780080   12.5724839921 12.8173413240   2.4122759674 1.9473984949   -0.3345240314 0.2649382078   10.0672556748 10.3284330419   2.7020483521 1.9366427708   8.3152340220 9.9715544936   3.4862964678 3.3935545382   15.5336190827 16.3111680964   5.4054399266 5.1807143722   13.7799469900 14.1363733581   9.7424562169 10.5081846249   3.7261003122 3.0085464435   12.7965025140 13.2045413292   3.4335364323 3.2725202543   9.8909506910 14.6612320160   2.4829449932 1.2671030978   12.5793559962 11.5783531295   3.7702105249 4.5548193188   12.3100892404 13.9979663184   7.9718905921 6.8318381245   13.6779001421 12.0175001540   2.6762051634 3.4043711781   10.5068988389 11.2905627542   4.1221588404 3.0016569037   2.8796793923 3.6524461301   12.0543088299 13.6888880498   3.0625662833 1.9001835685   10.9657527869 7.7160327915   6.1254710472 7.9085532225   11.5278806436 9.0329976862   9.3538564263 9.4116169485   0.1741287146 -0.8653440901   11.8758389903 13.1063273641   1.0303912993 -1.0591189467   15.2714909859 15.8961177829   3.6002507105 2.4286324007   14.8489765299 12.7660098727   3.5463760995 3.6917720214   8.9161502358 9.2658476909   9.1310965952 9.6099222304   5.7660225500 6.1540048499   13.4113468331 13.0956275739   3.7917019062 2.6010773706   3.9101658932 3.5648034384   13.3241250454 13.5513454043   10.9171750017 8.8830344928   2.9651998242 2.8179698507   3.2457105489 2.0387932291   3.9156855643 2.0222189349   0.8564304802 0.2808256866   7.7735775142 5.6672127578   7.1340757412 6.0448336755   13.4097448741 12.8685263875   1.9784175567 1.8500221113   11.1879441511 9.5799802390   15.9298053254 14.8248857184   12.2081268164 13.9723156382   16.1091268317 14.5873189409   -0.0843936446 -0.8512145917   13.2692234286 13.1946779506   3.7807956378 5.3917047028   -0.8146106516 -0.0185791905   13.2588957613 14.9179780049   5.4891769202 6.5128655597   9.4379613790 9.5287001210   2.8145652223 3.8830963857   12.2550985393 12.9290645724   6.1117021717 7.6124608192   16.8804532932 16.8597098601   0.1713924401 -0.4026809578   13.5276720716 11.3268732166   14.5543520134 12.8600565532   1.5284813666 1.8343932802   12.8747954894 13.4280413569   0.4479946172 0.3243598821   13.4536401201 14.5587198650   0.4494030089 -0.3283198071   2.6974543436 3.6444911267   2.4707796755 3.5044231380   -0.0379870170 0.4455074345   15.5926894569 16.1441278374   0.4626997775 -0.1469151955   

6.4994717822 6.6834083017   14.9625675574 15.6085805231   4.1983720280 2.2116013198   3.1146773232 2.7786062257   -0.0557870573 -0.0020619964   12.1987398043 14.1537943139   0.8388054420 -0.5614074810   5.9023813138 4.6154756203   9.6547569341 9.8316714716   3.6159407802 2.9423959046   12.9771689366 14.2728243992   7.1094969624 6.3136875375   14.0998431544 11.2806998308   1.0182449554 -0.0905254957   14.2149102353 12.9168325182   0.6220730544 -0.5373162697   12.5223205422 13.4029363480   3.0244399994 1.9812147596   -0.7553687673 -0.7531020705   9.2603022445 10.9440113604   3.3810432527 3.1324763298   10.2302878162 11.1048524914   13.7160001517 13.4430817625   10.5228322291 11.3865968533   6.2318003219 7.9735161428   9.2429759779 10.2776386747   2.8119404743 2.4091196689   3.2812561742 2.9843112020   16.3944350045 14.1109078391   12.4197431117 14.2222727846   1.2265796840 3.8739724768   17.7047511651 15.9253297729   15.5827277899 15.8668918220   14.2133563787 12.2678268632   2.1428806489 2.2724783156   13.0911285813 13.2649984683   2.6278821196 3.2632507411   12.8826971157 12.4509648127   0.1936907961 -0.3536492696   2.0876855770 3.3519717594   12.8657515581 13.4938635052   3.6163248224 1.8137056020   9.6312565623 9.2998765395   11.1848600010 12.3166396613   13.1344077996 14.0815882953   0.1043560917 0.2041543893   0.4757189967 -1.0051873086   12.6432323161 12.5228120235   -0.7556767059 0.9884981306   13.0817861849 12.5919181848   0.9595794412 2.5861876459   14.4438696071 15.1694966418   12.4718633257 12.3136796144   5.2665251075 3.5752212902   14.3812539157 12.3339846222   1.7596020362 0.1442802603   0.3184888306 -0.4847775467   8.5828529084 11.4200044283   12.8064808951 12.7662728531   3.7093097829 2.2750569755   3.0877081687 3.9092184230   12.5474727313 11.4050804968   -0.3053757332 -0.2616399435   0.2736251052 0.3428430595   6.1885003813 6.5432017134   13.6472674954 13.5317028968   4.3445371487 7.5465494466   7.3594942541 7.4717295545   4.2309890262 3.6074935184   11.1425433049 13.0324265746   13.8529512808 13.3375326595   10.1676435752 9.8210021285   0.4790384649 -0.4243582654   0.4116492144 0.6581892403   3.1031753967 2.3603445982   2.7077554473 2.1898627220   17.4354143365 15.6108151625   9.7072386386 10.0708722469   -1.6325487163 1.1782826082   9.3575026597 8.9420918869   2.6756561062 3.0689359902   10.2338399257 9.5097499104   0.2912554056 -0.7534758577   -0.3059484934 0.2969753567   3.1256025511 2.3978028196   12.4186103110 13.2427193751   -0.1137613712 0.0152283810   6.7025191441 6.2362668728   6.3457995691 7.3714240092   12.7786433135 12.3096892844   5.2639645932 5.8233701188   3.2694457901 3.2499081905   12.9871245108 12.4963020444   2.7917968626 3.8860334795   14.3312593715 14.3248081973   3.6499049203 2.4655452231   9.9247771842 10.1475499094   2.9442733084 2.8114347444   5.7239859945 5.2085472798   13.8969044935 13.5931568226   

