2.9269665928 3.4211597842   13.2878253495 13.6697879604   0.2758939850 0.1980690737   2.4197491459 2.1166452398   3.5705848113 3.3935641293   12.4146509426 11.6179903103   11.2421443210 9.3840299371   -0.1953195315 0.3896747548   13.1065117354 12.3488903720   5.8470961070 6.7566018191   10.6923046137 10.8885131826   9.5213902820 11.0523629879   0.3266728714 0.5925880750   9.4038303484 9.2956705783   -0.1823547393 -0.3697447739   11.9183813570 13.3013969496   2.2285595217 1.4335703828   14.5305760702 13.8083642997   13.1760837716 13.6137061669   14.7438540852 16.2043165650   5.6216217170 7.7664135057   3.3854476689 2.9777482148   11.7365312470 10.9703509349   11.1025416436 12.4097738475   4.0737478009 3.8889273044   9.4723016208 10.3846137617   0.3394112850 0.1266400592   12.4719470943 13.2447746280   0.1247937545 0.3158620117   10.8857309062 10.3156964839   1.1383775364 0.8573381488   6.2180035042 5.3178469426   8.5100214508 10.2487541712   12.6741492211 12.4260858314   1.6094913954 3.8844599193   0.1133126074 -0.8624741988   16.6652635788 15.1997766132   3.2068524299 3.3131565449   3.4985010054 3.8982204285   14.1883071939 13.1873650739   3.6752241068 4.4586970698   16.3518142297 16.4699627067   2.4684686394 3.9189619966   8.8325326065 9.8325371051   -0.2311489386 -0.3488733881   12.0703288294 11.7271665099   2.1547145664 2.2788590052   4.0479372801 3.6543777715   -0.3614594607 -1.0199516764   3.1261000022 3.0274598635   13.6952797867 12.9072490893   15.9034449789 16.3995340970   3.2369838301 1.8497478549   2.0349715159 2.7155830880   14.5042845866 15.9154890243   3.4464477937 3.6181536448   12.7162853230 13.6839445868   4.1589371093 2.1896170621   13.4092289168 12.8923460216   2.7351017617 0.4621990312   0.3636795317 -0.9591045789   0.7571723864 0.2901648312   12.7242781437 12.2967391499   -0.4066015355 -0.0941114243   9.0551847330 9.3934562532   5.2804070335 5.7135677500   3.1311358137 3.7112448707   2.8622827543 2.7387145088   9.7956603430 9.7607278182   0.6589495521 0.1669344658   15.0048488513 12.3150849233   13.4466551971 13.8915185115   15.7321547945 15.4557016960   14.5121015341 16.9818405141   -1.0888654885 -1.0060026634   13.3907494288 12.6268669071   0.6241019575 -1.1806383481   0.3344161776 -0.7684269521   6.8322521148 6.3713907260   14.0945560179 12.9323730622   15.7684080930 16.8040999727   -0.1084613075 0.2959759205   13.1004664457 12.8885661232   6.8947360381 8.0681445723   13.5851135552 13.1926876455   6.5854831074 6.0574952155   18.4870432558 16.8219208196   3.1679248536 2.7596924132   2.6355384958 2.9414226624   16.2933704972 16.1072370463   1.5456973523 4.0576939581   15.7867305981 15.0554397741   8.8683193062 9.3470038299   16.3893705878 15.2705359079   16.1557674611 13.9324713458   4.5049222532 3.0736444536   -0.3148227336 0.7392230094   1.3009516364 2.9299695207   3.3531857995 3.9140741114   8.5360258708 9.6007696860   
-0.2243687113 0.4225890973   5.6633592510 5.9760347507   16.6341536003 15.3686017721   15.6212656289 18.3855847891   2.8268795764 3.9052673158   13.0415378213 10.9365728401   9.5051192759 9.5463880127   13.9774006733 12.1521397857   10.0451404118 10.6002017983   13.5682597580 13.8406395358   16.1599161353 15.1150893736   13.3180206775 13.5572588478   0.4355599472 -0.2196932459   2.4637381023 2.4037577821   2.4530928438 1.8487788890   0.4103341956 -0.4997281360   -0.6568400509 -0.6038447752   13.9795138201 12.8974068560   12.1046113080 13.8199307993   0.1851442363 0.6249548766   17.4226561632 16.1741513268   4.8817609764 6.5591009860   -0.4622268327 0.2453095247   1.8107485709 1.9805640372   0.5015664585 0.6227893386   13.1944021283 15.0915628696   10.2136062015 9.2013668607   15.1518912666 11.4688058866   16.5865523184 15.9167720627   15.5437928984 15.5992301052   2.8620845453 1.8252235134   12.9960045572 14.1045694977   5.9707547155 6.1122705195   15.0262027558 13.5663569703   2.8337259637 2.3784013437   13.3785971329 12.2052484625   11.3480480317 13.5079958865   3.0609770403 2.4526746564   6.2413230343 5.5152595802   13.3358280115 11.7439418875   0.0344009679 -0.5870933876   3.0381787796 3.6093681991   9.9151953221 10.0868993499   3.4890167992 2.5945343498   13.5329875818 12.5931275718   13.9298461958 11.9488063340   6.1403327007 4.6951246130   12.1805221166 12.9794407409   9.2142368104 10.7742916348   8.0424906695 5.0149225635   6.1203267101 6.0749289296   -0.4247517148 0.3026033868   2.6626671966 2.9362477617   4.3880816058 1.1485558170   13.8177734507 13.0791390851   0.5580204108 -0.4668750752   1.9484080766 3.2837888626   4.6756294982 7.2650859515   14.1490242744 13.3494697501   15.9964559335 14.3478399045   7.4963703568 5.7968428591   5.8520987277 6.0192458747   13.4636389338 12.4199105232   3.0656741078 3.7577203312   3.7857534310 3.9194470146   12.8806261559 12.9130519859   10.1980237335 10.1400122621   5.9386400697 6.2302974974   11.5216428192 14.0900152165   9.8558639075 9.5261849932   0.1044712125 -0.8089084165   15.7583216474 15.7725567495   17.8455739193 13.7182138427   16.4951439611 15.4959267255   3.6641458198 2.6586013965   10.6067709824 9.1679697476   2.7261470895 3.1078002747   9.7831579081 12.1037361460   15.2016640901 11.6228769094   3.4640767266 4.3214223507   15.6960006075 15.6667009458   0.0184829032 0.5229845845   5.9399579709 7.1424458651   3.2529698068 2.6937292257   15.6439474133 17.8941155391   0.4359214668 -1.1248530703   0.8604923856 -0.1581437956   2.0819679403 3.5477270348   0.4712771118 1.5430414498   -0.0056374813 -0.6456435921   12.0902674256 12.7658789309   4.6348671745 3.1628366434   2.9192060738 4.3869756897   11.2253449946 13.7714268281   9.8167125670 10.8699175606   13.1554404452 14.6915811116   13.3538029790 11.6522137742   -0.7448745747 0.2156814570   4.3122847501 3.0044486011   16.4457276318 15.8924993004   

4.6458290136 3.5429053432   8.2368532716 4.5055913218   5.6198599594 4.8183066901   9.2396783284 10.4662228230   11.2215040113 10.0174078799   10.2316560394 11.5680363037   2.3715518488 2.4867987215   15.5813448443 16.5540482395   9.6784234843 8.8804530756   1.9932078307 2.7238296067   0.6090446465 -0.6219738165   13.7695520978 12.3714306508   3.2640174123 2.6307563568   6.3189168798 5.1386684170   12.0280331182 12.3623889147   0.6634158899 1.0222916488   10.0412646053 9.7108832770   13.9340359923 12.2285562163   0.1890695661 0.1510901639   15.2307593784 16.4146165212   9.5206710192 10.8849952889   -0.2516002555 -0.2501827227   10.5981088328 8.4663870778   6.2129860760 5.2905680832   16.5815635030 15.8793357580   3.1738847122 2.8013863686   1.3339363067 4.3659042879   2.9641039589 4.4612646666   6.4914690612 5.9076841333   12.4140378997 14.7240140819   12.3035690712 13.5134460617   13.7821398349 12.4577604734   16.2811688357 16.6067067326   14.6351457281 13.4604262404   2.6401594700 4.1476490541   17.2621932080 15.5630177444   10.0636571075 11.7359526796   3.1148280041 3.7888774900   7.2461162878 5.6518381590   10.2612357778 9.3964737537   4.0545040040 2.2907983128   3.9431014035 2.6155744105   0.0269051973 0.2961122687   2.9574271618 3.0858319110   2.9245485860 1.7974022766   12.4705016020 13.9310455592   0.2218717156 -0.5342381311   14.3729952459 12.7522435325   10.7809096279 10.0058706971   0.6644176168 -0.0455926321   15.5294037745 16.9932325612   2.5550069537 2.4300781987   6.3607114109 4.0402903764   3.3385647605 2.6196947391   15.1872050918 15.3951192379   0.0680571323 0.4274093104   7.1535435002 6.0131727835   2.0045542652 2.9569610215   12.7913219624 13.3593022421   0.4077614512 0.4099520588   7.2165093942 4.5268193779   2.3735401248 2.6570723216   12.4792472391 14.0122894623   4.1623981562 2.9674124014   13.9981751281 12.1561670969   3.6688578057 4.4006218663   9.1616953240 9.4041659487   6.0103963468 6.0133153364   13.9926223861 12.8224763041   13.0728852132 11.8721514956   9.6459932252 9.1952543130   9.3911685765 10.2942542386   3.3397771337 3.1082230277   10.8311560236 9.2217107552   5.0336625209 4.0194536755   5.9463050745 6.4033305950   0.5165275101 -0.0240535710   3.5820968321 2.6212611159   4.5117592213 6.4725303395   3.0686430970 2.0669641615   13.9652513951 13.1156658836   -0.2020472431 0.7887971885   10.1222392627 10.6300563401   12.5868593685 11.9273443860   17.0297141101 14.7487751757   16.0464609977 16.9069431965   7.1193519657 6.8746145077   12.6506472425 13.9100364841   0.4838061672 0.1254245635   13.5035616010 11.9613425871   11.1888770793 13.1379191470   3.5286122080 2.3299932479   0.2382163395 0.1809502457   6.5039650759 6.5486959874   12.5287358992 13.3813096379   2.9502211430 3.7897725248   13.7926013615 14.5631773094   13.8120735667 14.2045216037   15.6520087474 14.6663788010   3.5824735775 1.0965694907   

4.1289220092 4.0957543076   12.7649106588 13.4649577912   12.9409524766 14.3535252451   2.8625156530 2.9842928149   13.9933227177 13.5481125167   10.6362874830 11.0249778800   2.8849528204 3.1631148419   10.0016152865 11.3520841895   2.7245572509 3.6649762560   13.5616777870 12.1265444132   3.5501098616 2.3190115287   14.4714882279 12.3198561462   10.1385232587 11.4275711298   17.0439440488 15.1065627536   11.9362964888 13.2706605870   3.1751052182 2.6719287835   12.4529790576 13.3728737071   9.6064539271 10.9079055273   13.2152560165 13.4024864474   3.6095753868 2.7395293499   -0.4371867776 0.9252847350   15.5604372971 16.7461439279   5.6297642259 6.7404716064   12.9654847993 13.0871304973   9.5922278388 9.4700828438   3.9038556171 2.7925055415   9.3999019685 10.0282190475   11.8349807347 13.5460842746   2.6579118650 3.0510941015   14.0176447382 13.7651931970   2.9256946834 3.5479430565   8.9532000766 8.9438164294   0.4697510419 -0.7407995407   13.3028653085 13.3586906203   12.4510169754 13.1334043558   4.3587046635 5.4773416515   14.8900992828 14.2036354845   10.5369911144 10.9144132190   12.1969023732 12.4781753824   2.7598815220 3.0432839902   15.6529146046 15.5905612820   8.9188798267 8.8321019107   -1.0518563850 0.3727042305   3.9368996435 4.0168115834   13.6586801234 12.9010836948   8.4356115995 10.2680745505   13.5703116901 13.5832879836   9.6124410025 10.6138848572   13.2194871024 12.8011058918   2.8453581149 4.1603730292   2.3918638532 3.0823815728   -0.6384878096 0.2071567821   9.3965360976 9.7012360639   14.5178379053 14.9563717294   9.2910206528 10.6399417514   3.1276102693 2.0037448076   11.3205154671 12.2645806895   2.0415089369 2.6192713047   1.6292832592 2.0672534258   12.0737579295 12.7391903409   0.8140047961 0.7336322687   13.3963796629 12.8473631523   1.9327752625 2.6053322785   9.0901278150 10.6053405248   6.7250708499 7.0535565990   9.2208889355 9.3575595490   8.9079854453 10.7206101947   6.5458794624 4.3430414384   14.0564136041 11.8397842785   12.5144725616 13.6316373241   3.1289168631 1.9614808961   3.2071975166 2.9185750636   15.7793522243 17.2406672063   -0.0278452113 0.7698503488   13.4432568226 12.1012400151   0.1128975756 0.5388192172   9.0878939282 9.6121217638   13.4845210544 12.3921267035   3.7832381773 1.7882094237   13.5708447561 12.1795992977   8.4445987338 6.2736433904   13.1386974903 12.1010942117   3.6031341211 2.6767156596   5.0147115898 7.7131992633   12.8060091196 14.2270796726   11.9316945126 13.2287913535   14.6974334068 17.4002685234   3.3642361086 3.0748240261   13.7670875927 13.4863874340   0.7647424683 1.4571490466   -0.5171333293 -1.6783679596   -0.2184068980 1.1098791582   17.3139059635 15.3616434522   10.1454790213 8.1995272808   9.7995293411 9.9259382648   5.9796354540 4.5275794798   4.4707624523 6.5417984027   13.8930044483 12.9187081134   3.7553564133 2.1170340686   12.3075967120 12.4920388729   

3.7668793559 1.9265377538   16.3562548997 15.4025935577   7.5039030258 8.7735252358   3.8393992480 4.1329616477   2.5014763208 2.4246823312   16.7833358673 15.5626061523   5.3136153747 6.4900803071   9.6979356394 11.3584882794   -0.5728759249 -0.4704745036   3.0571467455 3.1697310712   13.0541790404 12.9437210195   12.2969596790 11.8693292129   6.2542907073 7.0767623971   14.2788217500 13.7729843818   9.5512347550 10.3495031029   0.6216457426 -0.3976201980   9.5599623262 9.2014920101   13.9934452550 12.9101255484   6.7213649144 5.2563648693   0.9713531851 -0.2189754226   2.4838565739 2.6623324766   0.6074590435 0.0525721541   2.9990823526 3.5008493579   17.1761854959 15.6525730211   3.2780957879 3.3081367510   14.7651015097 13.3304300425   0.5857293494 0.5335497658   1.1150924476 0.9545656707   0.2477337893 0.6447173960   11.7593991360 13.1626590075   4.8250772601 7.2292730924   3.0106399064 3.7462771697   3.5548042396 2.6886935943   13.6185905127 13.7653074183   14.8473984931 13.7159788152   8.5578807694 8.7913386436   6.9049250308 5.7817886529   11.8203676261 10.6886990181   2.4464152379 2.1711432598   11.6429800892 13.0250825098   2.3561162976 2.5737087160   16.8494199903 14.4609246576   12.2352106109 12.3892570129   0.8017950452 -0.0809448886   0.1110115644 -0.6372474947   9.6750047130 11.5894034245   5.8531699641 6.4402253485   2.3661633848 2.8704889454   9.7525852555 11.0335873729   13.2629786202 13.0940090890   8.4071328045 10.4697525197   6.4833188783 5.4094819530   11.2176906152 10.6944468154   2.4839530682 1.6728923436   3.7321514727 2.1413546980   12.6073703829 12.8941648445   2.7640414801 2.3634060862   2.5625208438 2.8668342179   -0.1031105627 0.1777419582   -1.1218233973 -0.6678116022   3.7056863198 2.6363903543   14.7175488560 13.7769233778   3.5492758762 2.1118191789   3.0328019568 3.3912427898   -1.1028505290 0.0925567554   14.8193158400 14.4509190747   10.2455346072 10.5537305821   4.1385120040 3.0044728605   15.2955146089 14.7163619909   9.0230441486 10.1556226953   10.0311208192 9.3740053814   6.2627135208 3.5210087633   10.1190091650 10.9155962028   4.4980923947 2.9536527495   -0.0820287931 -0.1585864743   2.3897116686 1.5678386323   9.2230910388 9.7384447754   12.3199997224 13.0367863494   13.2480400128 13.5578072241   1.6605650127 2.2878278789   6.8550804889 6.8981673595   5.3491454008 6.2273852667   0.5209994861 -0.0139660359   13.9760392305 14.2181295660   -0.7021111677 -0.1285102835   17.1803552641 14.9080015369   14.6505762478 15.4564601564   0.5196219038 0.6061803852   10.0749688952 10.8158567476   8.9869427657 7.8369167105   3.7236243240 3.2024798300   10.5006007379 8.8421553082   13.6160988607 12.2390569756   13.2485074993 14.1804179879   3.2341265001 3.0120707897   13.5140547621 12.2606877332   -0.6234841404 1.0410756093   7.8066263631 5.8205898557   14.3529571381 12.7786110255   6.0013363507 6.3889071015   

0.5801686675 0.4027923189   14.4711022220 15.6405487428   -0.2534242520 0.9425838851   10.3292549210 10.1483015567   1.3405182400 2.6506708176   13.5115173796 12.3993338350   4.7727405968 6.4102921482   -0.1788250379 0.2261824680   5.2847548613 5.9317081350   2.0646620382 4.1163406764   3.1558586199 3.3906061432   10.0109875652 9.3616915795   3.7073006150 2.3733717776   10.1140417699 9.8655969999   3.9103766860 1.6722361686   10.6040460832 8.9417152451   -0.0643224088 -0.2256602088   0.0172354722 -0.5586835608   10.9375902594 10.0232063143   3.1371196664 3.2499787838   3.9249783592 2.1512909981   12.1749679045 14.5009569487   2.9825092511 3.9797387091   3.2398659018 1.4240533527   13.6287052812 14.6807090542   15.8211875828 17.5836895818   -0.0009363234 -0.2847459518   9.5775760697 9.2946830603   10.4257763849 8.4811780095   17.1424353406 15.8905158508   5.9835241615 5.6623132895   6.4970385869 5.5109232089   12.8838473336 14.3178081322   10.4042525486 9.9462521430   16.3053489775 15.6974311071   11.2646519472 10.4546556578   1.7572422713 3.3611023051   2.1512659758 2.8345578115   0.7801558770 3.5014963958   3.4752786679 3.5180592300   14.7351990546 16.8766153770   -0.0484226620 0.2936250021   13.9698042461 12.5594682475   13.1158332455 12.1492964475   9.9224667927 9.9612603083   9.1039080049 9.8627520776   10.9405392593 11.0286907598   12.9163796451 12.6822074306   10.3870769139 11.3483597338   13.9037252626 13.0513599905   3.0323677897 1.9577449662   11.2064516158 9.5648954077   14.8361766038 12.6251065073   -0.3815620551 -0.2737729224   9.8136084505 10.1364766965   14.7451058888 12.3678298333   13.0154720122 12.1097448093   11.2933556128 12.9552037543   3.2152743120 3.7526645065   10.3439236040 10.4522215292   2.9329086533 2.6778972241   3.7742112509 3.3518621705   3.0216392295 2.3176570007   2.1639856210 3.0286483008   2.2090373338 3.0500187333   2.4374096936 3.6308768649   16.0409811204 14.9827737101   11.8977985680 13.4897384360   6.1274631308 7.7703658194   5.5821169771 6.9950658514   12.8703866474 13.4194343331   11.8216220202 13.2339013717   4.7155481095 5.5202171487   -0.0247294107 0.2726241111   18.4853781218 14.8061377113   1.5009272106 -0.1256816145   11.4922853331 9.9201769562   0.1525527093 0.5690435808   6.4027152566 6.5524381685   3.9997671290 4.3415166990   13.8596659282 14.4891284559   3.8396719679 3.6800683413   11.1489499408 13.4595927532   6.8993720121 7.3708325216   9.0157507220 8.4977206760   0.3683601353 -0.1748773447   14.6711678523 13.8822796649   16.8963627241 14.6960238594   10.3961051205 10.4949465881   12.5406784783 13.3174556002   2.9579792450 3.1422573213   13.0590196305 12.7799447828   2.1616976993 3.2260591898   2.8293016300 1.6175025272   3.6540442238 2.4606644427   9.0251319332 9.1814295582   0.5383062465 0.1437727330   -0.8354573839 -0.2309275801   6.0091772407 5.4798620091   8.8484967561 9.4389701135   

-1.0985059768 0.5073077491   11.6091861451 13.9177512739   16.2377958129 14.2486542742   -0.5053021819 0.0958438685   4.3836727005 6.3902321818   12.5899844061 13.8313739249   2.9621818834 1.7425524973   0.9403818103 0.5873672522   12.6549918733 14.5018844810   14.0155158296 11.7652557341   2.7970535308 4.3244124727   0.3189140605 0.0377479323   3.0961208215 1.9631845238   2.8742628549 3.7004444962   13.6285349283 12.2755572485   6.1442413093 7.3423368471   3.8697586002 3.2819181913   2.9487518918 2.1897900393   0.8947557854 -0.5705642102   15.0923661041 14.0872778728   2.8060484471 3.7266053248   14.7117747343 12.3602753055   -1.3588027095 -0.5359392258   2.7839203602 3.3949133178   3.5517795527 2.3220005949   16.0680454368 19.0939192818   0.2779522945 -0.9177054668   10.0903963902 9.4495060703   14.1514340496 12.2328478959   0.1734058451 -0.3093007378   10.6398155877 10.9848217384   16.5802862752 16.3860646676   -0.6289717432 -0.2860853066   6.9600354827 6.6705966213   11.8751588727 15.7197918624   0.4350661704 -0.3911207772   13.4626377596 13.3262296103   9.1459690716 8.9966807718   8.9740815232 10.7181069777   13.2298594991 11.6885557487   10.4002060004 9.9467690554   4.2305807391 2.5301455035   2.7581217844 1.8517830212   0.4693431506 1.2577758560   3.5340850749 2.1536447382   15.3179551155 13.8152234864   3.4053916180 3.7110980551   9.7829859652 10.2681770989   9.4048898554 9.9449157418   13.5823324945 12.1738645306   7.0994866410 3.9702489616   5.6031226947 5.1989661411   6.8803676498 6.0737451632   12.3741613606 13.7208659947   2.8649280564 2.3934186434   6.5321278758 6.4011236404   11.9450516537 13.2803432621   12.9474913620 12.4760656623   2.0650629792 3.5362777948   12.7313372860 11.5114226987   2.6105628642 2.5328647102   15.8025701795 15.0870140432   12.7099087160 13.4529793866   14.3409553013 13.5262353657   3.1067201750 2.7637758635   3.8109912845 3.4507671218   12.7093411210 12.3314415659   10.8961804506 9.5950355011   -0.5611327546 -0.4582746221   14.5824023927 11.5785068471   3.4929686647 2.2129211491   14.2068616891 12.0101906666   2.9181452988 2.7953619325   18.2762804718 16.4381034699   13.1613794096 13.6603714420   2.8171107346 3.9347697680   1.8023689477 3.6116381454   3.0592029206 4.0753678526   9.5589053611 8.5670737580   9.7347681452 8.7661975365   10.9900837342 11.5793983915   2.2930242596 2.3870000449   10.9392436751 10.2028698082   3.1950259140 1.6310904402   -0.4781425212 0.9257285988   -0.4617400592 0.7837477099   13.4522692346 14.2097367854   16.3413989277 15.7789034721   3.0655147125 3.4803001549   -0.4239237037 -0.3799509526   10.1532238168 10.3626286322   16.3299023834 17.4968025010   5.6314822512 3.6354370174   5.3419059984 5.9012914706   3.7133274207 3.0180079522   1.8961961337 4.5725284394   10.1613789852 9.8859311411   13.3229206344 12.5037517533   12.9780068443 14.6317482059   0.0963014803 -0.3132600068   

